"*Co-investigator /
Chercheur associé 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Co-investigator
Affiliation / 
Affiliation du chercheur associé
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information / Coor-données de chercheur Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s) / Intendant(s) des données,Minzhen Su,Minzhen Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada ,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attribution / 
Attribution
","Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Nom du fichier de données [Nom du fichier de données], générée [année-mois-jour]. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ","Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et [s’il y a lieu, entrez les noms des contributeurs, des organismes de cofinancement ou des collaborateurs] pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quality Assurance Level and Disclaimer / 
Niveau d’assurance de la qualité et avis de non-responsa-bilité
","Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flag column pertain to the numerical value in the data column immediately to the right / Colonne du drapeau se rapportent à la valeur numérique dans les données de la colonne immédiatement à la droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station or Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Matrix /  Matrice,Sample Type / Type d'échantillon,Water Depth (m) / La profondeur de l’eau (m),Flag/Marqueur,ALUMINUM DISSOLVED (107941-L) (UG/L) / Aluminium dissous (107941-L) (UG/L),Flag/Marqueur,ANTIMONY DISSOLVED (107965-L) (UG/L) / Antimoine dissous (107965-L) (UG/L),Flag/Marqueur,ARSENIC DISSOLVED (107942-L) (UG/L) / Arsenic dissous (107942-L) (UG/L),Flag/Marqueur,BARIUM DISSOLVED (107944-L) (UG/L) / Baryum dissous (107944-L) (UG/L),Flag/Marqueur,BERYLLIUM DISSOLVED  (107945-L) (UG/L) / Béryllium dissous (107945-L) (UG/L),Flag/Marqueur,BISMUTH DISSOLVED (107946-L) (UG/L) / Bismuth dissous (107946-L) (UG/L),Flag/Marqueur,BORON DISSOLVED (107943-L) (UG/L) / Bore dissous  (107943-L) (UG/L) ,Flag/Marqueur,CADMIUM DISSOLVED (107947-L) (UG/L) / Cadmium dissous (107947-L) (UG/L),Flag/Marqueur,CERIUM DISSOLVED (107948-L) (UG/L) / Cérium dissous (107948-L) (UG/L),Flag/Marqueur,CESIUM DISSOLVED (107951-L) (UG/L) / Césium dissous (107951-L) (UG/L),Flag/Marqueur,CHROMIUM DISSOLVED (107950-L) (UG/L) / Chrome dissous (107950-L) (UG/L),Flag/Marqueur,COBALT DISSOLVED (107949-L) (UG/L) / Cobalt dissous (107949-L) (UG/L),Flag/Marqueur,COPPER DISSOLVED (107952-L) (UG/L) / Cuivre dissous (107952-L) (UG/L),Flag/Marqueur,GALLIUM DISSOLVED (107954-L) (UG/L)  / Gallium dissous (107954-L) (UG/L) ,Flag/Marqueur,IRON DISSOLVED (107953-L) (UG/L) / Fer dissous (107953-L) (UG/L),Flag/Marqueur,LANTHANUM DISSOLVED (107955-L) (UG/L) / Lanthane dissous (107955-L) (UG/L),Flag/Marqueur,LEAD DISSOLVED (107961-L) (UG/L) / Plomb dissous  (107961-L) (UG/L),Flag/Marqueur,LITHIUM DISSOLVED  (107956-L) (UG/L) / Lithium dissous (107956-L) (UG/L),Flag/Marqueur,MANGANESE DISSOLVED (107957-L) (UG/L) / Manganèse dissous (107957-L) (UG/L) ,Flag/Marqueur,MOLYBDENUM DISSOLVED (107958-L) (UG/L) / Molybdène dissous (107958-L) (UG/L),Flag/Marqueur,NICKEL DISSOLVED (107960-L) (UG/L) / (107960-L) (UG/L),Flag/Marqueur,NIOBIUM DISSOLVED (107959-L) (UG/L) / Niobium dissous (107959-L) (UG/L),Flag/Marqueur,PLATINUM DISSOLVED (107963-L) (UG/L) / Platine dissous  (107963-L) (UG/L),Flag/Marqueur,RUBIDIUM DISSOLVED (107964-L) (UG/L) / Rubidium dissous (107964-L) (UG/L),Flag/Marqueur,SELENIUM DISSOLVED (107966-L) (UG/L) / Sélénium dissous (107966-L) (UG/L),Flag/Marqueur,SILVER DISSOLVED  (107940-L) (UG/L) / Argent dissous (107940-L) (UG/L),Flag/Marqueur,STRONTIUM DISSOLVED (107968-L) (UG/L) / Strontium dissous (107968-L) (UG/L),Flag/Marqueur,THALLIUM DISSOLVED (107970-L) (UG/L) / Thallium dissous (107970-L) (UG/L),Flag/Marqueur,TIN DISSOLVED (107967-L) (UG/L) / Étain dissous (107967-L) (UG/L) ,Flag/Marqueur,TITANIUM DISSOLVED (107969-L) (UG/L)  / Titane dissous (107969-L) (UG/L) ,Flag/Marqueur,TUNGSTEN DISSOLVED (107973-L) (UG/L) / Tungstène dissous  (107973-L) (UG/L),Flag/Marqueur,URANIUM DISSOLVED (107971-L) (UG/L) / Uranium dissous (107971-L) (UG/L),Flag/Marqueur,VANADIUM DISSOLVED (107972-L) (UG/L) / Vanadium dissous (107972-L) (UG/L),Flag/Marqueur,YTTRIUM- DISSOLVED (107974-L) (UG/L) / Yttrium dissous (107974-L) (UG/L),Flag/Marqueur,ZINC DISSOLVED (107975-L) (UG/L) / Zinc dissous (107975-L) (UG/L),Flag/Marqueur,ALUMINUM TOTAL (107905-L) (UG/L) / Aluminium total (107905-L) (UG/L),Flag/Marqueur,ANTIMONY TOTAL (107929-L) (UG/L) / Antimoine total (107929-L) (UG/L),Flag/Marqueur,ARSENIC TOTAL (107906-L) (UG/L) / Arsenic  total (107906-L) (UG/L),Flag/Marqueur,BARIUM TOTAL (107908-L) (UG/L) / Baryum total (107908-L) (UG/L),Flag/Marqueur,BERYLLIUM TOTAL (107909-L) (UG/L) / Béryllium total (107909-L) (UG/L),Flag/Marqueur,BISMUTH TOTAL (107910-L) (UG/L) / Bismuth total (107910-L) (UG/L),Flag/Marqueur,BORON TOTAL (107907-L) (UG/L) / Bore  total (107907-L) (UG/L),Flag/Marqueur,CADMIUM TOTAL (107911-L) (UG/L) / Cadmium total (107911-L) (UG/L),Flag/Marqueur,CERIUM TOTAL (107912-L) (UG/L) / Cérium total (107912-L) (UG/L),Flag/Marqueur,CESIUM TOTAL (107915-L) (UG/L) / Césium total (107915-L) (UG/L),Flag/Marqueur,CHROMIUM TOTAL (107914-L) (UG/L) / Chrome total (107914-L) (UG/L),Flag/Marqueur,COBALT TOTAL (107913-L) (UG/L) / Cobalt total (107913-L) (UG/L),Flag/Marqueur,COPPER TOTAL (107916-L) (UG/L) / Cuivre total (107916-L) (UG/L),Flag/Marqueur,GALLIUM TOTAL (107918-L) (UG/L) / Gallium total (107918-L) (UG/L),Flag/Marqueur,IRON TOTAL (107917-L) (UG/L) / Fer total (107917-L) (UG/L),Flag/Marqueur,LANTHANUM TOTAL (107919-L) (UG/L) / Lanthane total (107919-L) (UG/L),Flag/Marqueur,LEAD TOTAL (107925-L) (UG/L) / Plomb total (107925-L) (UG/L),Flag/Marqueur,LITHIUM TOTAL (107920-L) (UG/L) / Lithium total (107920-L) (UG/L),Flag/Marqueur,MANGANESE TOTAL (107921-L) (UG/L) / Manganèse total (107921-L) (UG/L),Flag/Marqueur,MOLYBDENUM TOTAL (107922-L) (UG/L) / Molybdène total (107922-L) (UG/L),Flag/Marqueur,NICKEL TOTAL (107924-L) (UG/L) / Nickel  total (107924-L) (UG/L),Flag/Marqueur,NIOBIUM TOTAL (107923-L) (UG/L) / Niobium total (107923-L) (UG/L),Flag/Marqueur,PLATINUM TOTAL (107927-L) (UG/L) / Platine total (107927-L) (UG/L),Flag/Marqueur,RUBIDIUM TOTAL (107928-L) (UG/L) / Rubidium total (107928-L) (UG/L),Flag/Marqueur,SELENIUM TOTAL (107930-L) (UG/L) / Sélénium total (107930-L) (UG/L),Flag/Marqueur,SILVER TOTAL (107904-L) (UG/L) / Argent total (107904-L) (UG/L),Flag/Marqueur,STRONTIUM TOTAL (107932-L) (UG/L) / Strontium total (107932-L) (UG/L),Flag/Marqueur,THALLIUM TOTAL (107934-L) (UG/L) / Thallium total (107934-L) (UG/L),Flag/Marqueur,TIN TOTAL (107931-L) (UG/L) / Étain total (107931-L) (UG/L),Flag/Marqueur,TITANIUM TOTAL (107933-L) (UG/L) / Titane total (107933-L) (UG/L),Flag/Marqueur,TUNGSTEN TOTAL (107937-L) (UG/L) / Tungstène total (107937-L) (UG/L),Flag/Marqueur,URANIUM TOTAL (107935-L) (UG/L) / Uranium total (107935-L) (UG/L),Flag/Marqueur,VANADIUM TOTAL (107936-L) (UG/L) / Vanadium total (107936-L) (UG/L),Flag/Marqueur,YTTRIUM TOTAL (107938-L) (UG/L) / Yttrium total (107938-L) (UG/L),Flag/Marqueur,ZINC TOTAL (107939-L) (UG/L) / Zinc total (107939-L) (UG/L),Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur
2011PN200001,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2011-10-27 11:56,WATER,VERTICAL INTEGRATED,0.27,,2.3,,0.051,,0.44,,55.3,,0.002,,0.001,,30.8,,0.048,,0.018,,0.002,,0.04,,0.098,,0.65,,0.004,,32.3,,0.009,,0.018,,9.1,,16.2,,0.76,,0.95,L,0.001,L,0.001,,0.828,,0.13,,0.001,,273,,0.004,L,0.005,,,,0.002,,0.422,,0.131,,0.035,,0.5,,35.2,,0.05,,0.57,,55.6,,0.006,,0.001,,30.8,,0.016,,0.18,,0.012,,0.12,,0.149,,0.73,,0.016,,327,,0.082,,0.095,,8.37,,33.2,,0.744,,1.26,,0.002,L,0.001,,0.945,,0.13,,0.004,,263,,0.005,L,0.005,,,,0.002,,0.416,,0.303,,0.111,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200002,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2011-10-27 12:10,WATER,VERTICAL INTEGRATED,1.01,,3.2,,0.052,,0.43,,54,,0.002,,0.001,,28.7,,0.031,,0.022,,0.002,,0.04,,0.097,,0.61,,0.003,,50.2,,0.012,,0.026,,8.04,,10.6,,0.716,,0.93,L,0.001,L,0.001,,0.851,,0.13,,0.001,,263,,0.004,L,0.005,,,,0.002,,0.414,,0.14,,0.037,,0.8,,46.2,,0.052,,0.58,,54.9,,0.009,,0.002,,25.9,,0.019,,0.224,,0.016,,0.13,,0.166,,0.72,,0.019,,317,,0.106,,0.12,,8.15,,29,,0.756,,1.08,,0.002,L,0.001,,0.966,,0.13,,0.005,,261,,0.005,L,0.005,,,,0.002,,0.42,,0.316,,0.133,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200003,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2011-10-27 12:48,WATER,VERTICAL INTEGRATED,1.58,,3.2,,0.049,,0.47,,53.2,,0.003,,0.001,,29.2,,0.032,,0.025,,0.002,,0.05,,0.097,,0.57,,0.003,,56.5,,0.015,,0.026,,8,,7.76,,0.737,,0.86,L,0.001,L,0.001,,0.772,,0.12,,0.001,,259,,0.004,L,0.005,,,,0.001,,0.419,,0.15,,0.039,,0.6,,45.6,,0.05,,0.57,,55.2,,0.007,,0.002,,27.5,,0.021,,0.221,,0.015,,0.14,,0.159,,0.65,,0.019,,306,,0.101,,0.206,,7.99,,26,,0.74,,1.05,,0.002,L,0.001,,0.981,,0.13,,0.004,,261,,0.004,L,0.005,,,,0.001,,0.415,,0.34,,0.132,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200004,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2011-10-27 13:02,WATER,VERTICAL INTEGRATED,2.1,,3.2,,0.048,,0.46,,52.4,,0.002,L,0.001,,28.6,RANGEH,0.154,,0.024,,0.002,,0.04,,0.084,,0.55,,0.003,,54.8,,0.014,,0.02,,7.96,,4.98,,0.742,,0.89,L,0.001,L,0.001,,0.827,,0.12,,0.002,,260,,0.003,L,0.005,,,,0.001,,0.41,,0.143,,0.038,,0.5,,50,,0.047,,0.59,,54.2,,0.007,,0.002,,25.2,,0.018,,0.237,,0.017,,0.16,,0.154,,0.67,,0.02,,318,,0.11,,0.313,,8.12,,23.3,,0.742,,1.06,,0.001,L,0.001,,0.988,,0.12,,0.004,,262,,0.005,L,0.005,,,,0.003,,0.413,,0.346,,0.137,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200005,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2011-10-27 13:25,WATER,VERTICAL INTEGRATED,2.44,,4.1,,0.049,,0.48,,52.3,,0.003,,0.001,,28.3,,0.016,,0.025,,0.002,,0.04,,0.088,,0.54,,0.003,,59.1,,0.014,,0.018,,7.92,,4.6,,0.718,,0.87,L,0.001,L,0.001,,0.841,,0.12,,0.001,,257,,0.003,L,0.005,,,,0.001,,0.413,,0.147,,0.038,,0.5,,48.7,,0.048,,0.56,,53.8,,0.008,,0.002,,27.1,,0.017,,0.226,,0.016,,0.13,,0.15,,0.68,,0.019,,303,,0.103,,0.116,,8.13,,22.4,,0.727,,1.02,,0.001,L,0.001,,0.968,,0.13,,0.003,,259,,0.005,L,0.005,,,,0.002,,0.413,,0.333,,0.134,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200006,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2011-10-27 14:17,WATER,VERTICAL INTEGRATED,2.5,,3.8,,0.048,,0.45,,52.2,,0.002,,0.001,,26.4,,0.015,,0.027,,0.002,,0.05,,0.084,,0.55,,0.004,,63.4,,0.015,,0.019,,7.89,,4.45,,0.707,,0.86,L,0.001,L,0.001,,0.826,,0.13,,0.001,,258,,0.003,L,0.005,,,,0.002,,0.399,,0.148,,0.039,,0.6,,50.2,,0.051,,0.58,,53.7,,0.007,,0.002,,25.4,,0.015,,0.241,,0.018,,0.12,,0.151,,0.66,,0.021,,319,,0.112,,0.12,,8.05,,21.9,,0.713,,1.02,,0.002,L,0.001,,0.979,,0.13,,0.003,,255,,0.005,L,0.005,,,,0.002,,0.405,,0.343,,0.136,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:42,WATER,TRIPLICATE SAMPLE,2.65,,3.4,,0.053,,0.46,,53.5,,0.002,L,0.001,,30.4,,0.018,,0.021,,0.002,,0.03,,0.091,,0.52,,0.003,,49.4,,0.012,,0.015,,8.18,,4.66,,0.694,,0.85,L,0.001,L,0.001,,0.851,,0.12,L,0.001,,259,,0.005,L,0.005,,,,0.001,,0.397,,0.162,,0.036,,0.3,,57.1,,0.049,,0.54,,54.2,,0.008,,0.002,,23.9,,0.016,,0.254,,0.019,,0.12,,0.157,,0.62,,0.021,,333,,0.116,,0.196,,7.49,,22.7,,0.663,,0.98,,0.002,L,0.001,,0.971,,0.11,,0.002,,252,,0.007,L,0.005,,,,0.001,,0.393,,0.362,,0.147,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2011-10-27 15:19,WATER,VERTICAL INTEGRATED,2.77,,4.1,,0.046,,0.44,,50.4,,0.002,,0.001,,27.5,RANGEH,0.137,,0.027,,0.002,,0.04,,0.09,,0.62,,0.003,,68.4,,0.015,,0.03,,7.97,,4.94,,0.672,,0.84,L,0.001,L,0.001,,0.824,,0.12,,0.001,,252,,0.003,L,0.005,,,,0.001,,0.387,,0.151,,0.039,,0.6,,60,,0.047,,0.61,,52.9,,0.009,,0.001,,26.7,,0.016,,0.275,,0.018,,0.14,,0.164,,0.67,,0.024,,355,,0.128,,0.132,,8.13,,23.3,,0.695,,1.03,,0.002,L,0.001,,0.981,,0.11,,0.004,,254,,0.004,L,0.005,,,,0.002,,0.399,,0.357,,0.151,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2011-10-27 15:34,WATER,VERTICAL INTEGRATED,3.05,,3.1,,0.05,,0.44,,51,,0.003,L,0.001,,30.3,,0.013,,0.022,,0.002,,0.05,,0.091,,0.55,,0.003,,53.8,,0.012,,0.017,,8.11,,5.66,,0.666,,0.83,L,0.001,L,0.001,,0.832,,0.12,,0.001,,258,,0.003,L,0.005,,,,0.002,,0.389,,0.152,,0.036,,0.5,,61.2,,0.05,,0.58,,53,,0.009,,0.002,,26.8,,0.018,,0.296,,0.021,,0.15,,0.171,,0.71,,0.025,,382,,0.134,,0.156,,7.99,,24.8,,0.656,,0.97,,0.002,L,0.001,,1.01,,0.11,,0.004,,248,,0.005,L,0.005,,,,0.003,,0.386,,0.36,,0.162,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200010,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2011-10-27 16:14,WATER,VERTICAL INTEGRATED,2.16,,4.1,,0.048,,0.44,,50.9,,0.003,L,0.001,,29.3,,0.047,,0.029,,0.002,,0.04,,0.093,,0.54,,0.003,,72.2,,0.015,,0.022,,7.94,,7.05,,0.653,,0.78,L,0.001,L,0.001,,0.755,,0.12,,0.001,,247,,0.002,L,0.005,,,,0.001,,0.382,,0.16,,0.039,,0.4,,74.1,,0.05,,0.59,,52.6,,0.01,,0.002,,25.3,,0.016,,0.343,,0.024,,0.18,,0.192,,0.68,,0.03,,402,,0.153,,0.167,,8.26,,27.3,,0.653,,1.01,,0.003,L,0.001,,1.02,,0.11,,0.005,,251,,0.005,L,0.005,,,,0.002,,0.395,,0.387,,0.181,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200011,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:52,WATER,TRIPLICATE SAMPLE,,,4.1,,0.048,,0.46,,50.7,,0.003,,0.001,,27.9,,0.015,,0.028,,0.002,,0.04,,0.088,,0.56,,0.003,,70.4,,0.015,,0.025,,8.01,,4.35,,0.72,,0.84,L,0.001,L,0.001,,0.83,,0.12,,0.001,,253,,0.003,L,0.005,,,,0.002,,0.4,,0.147,,0.039,,0.4,,55.7,,0.049,,0.58,,53,,0.008,,0.002,,25.8,,0.017,,0.275,,0.018,,0.15,,0.162,,0.71,,0.022,,340,,0.127,,0.179,,8.04,,22.3,,0.694,,0.97,,0.002,L,0.001,,0.991,,0.11,,0.003,,256,,0.005,L,0.005,,,,0.002,,0.401,,0.351,,0.149,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200012,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 15:02,WATER,TRIPLICATE SAMPLE,,,4.7,,0.048,,0.46,,52.8,,0.003,,0.001,,27.4,,0.013,,0.028,,0.002,,0.05,,0.093,,0.55,,0.003,,70.2,,0.016,,0.031,,7.73,,4.21,,0.705,,0.85,L,0.001,L,0.001,,0.844,,0.12,,0.001,,254,,0.004,L,0.005,,,,0.002,,0.389,,0.166,,0.039,,0.5,,54,,0.051,,0.59,,55.4,,0.009,,0.002,,27.7,,0.016,,0.251,,0.019,,0.15,,0.161,,0.67,,0.022,,343,,0.114,,0.147,,7.9,,22.6,,0.693,,1,,0.002,L,0.001,,0.996,,0.12,,0.002,,251,,0.005,L,0.005,,,,0.002,,0.402,,0.353,,0.143,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
