2020PN880006,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-09-22 14:15,WATER,VERTICAL INTEGRATED,1.6,,,,,,,,,,
2020PN880007,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2020-09-23 13:05,WATER,VERTICAL INTEGRATED,2.4,,,,,,,,,,
2020PN880008,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-10-07 10:20,WATER,VERTICAL INTEGRATED,3.7,,,,,,,,,,
2020PN880009,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-10-07 11:30,WATER,VERTICAL INTEGRATED,2.1,,,,,,,,,,
2020PN880010,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2020-10-07 12:00,WATER,VERTICAL INTEGRATED,2.3,,,,,,,,,,
2020PN880011,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-10-07 12:49,WATER,VERTICAL INTEGRATED,2.3,,,,,,,,,,
2020PN880012,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-10-06 14:00,WATER,VERTICAL INTEGRATED,4.4,,,,,,,,,,
2020PN880013,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-10-07 13:17,WATER,VERTICAL INTEGRATED,1.9,,,,,,,,,,
2020PN880014,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-10-06 14:43,WATER,VERTICAL INTEGRATED,1.3,,,,,,,,,,
2020PN880015,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-10-20 14:45,WATER,VERTICAL INTEGRATED,4.2,,,,,,1.56,,0.046,,
2020PN880016,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2020-10-21 13:20,WATER,VERTICAL INTEGRATED,5.2,,,,,,1.91,,0.062,,
2020PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-10-23 12:45,WATER,VERTICAL INTEGRATED,4.2,,,,,,1.67,,0.084,,
2021PN880001,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2021-06-22 12:25,WATER,VERTICAL INTEGRATED,4.3,,,,,,5.32,,0.153,,
2021PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2021-06-22 10:52,WATER,VERTICAL INTEGRATED,4.7,,,,,,5.21,,0.148,,
2021PN880003,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2021-07-20 12:00,WATER,VERTICAL INTEGRATED,3.5,,,,,,2.49,,0.049,,
2021PN880004,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2021-06-22 10:20,WATER,VERTICAL INTEGRATED,3.3,,,,,,5.83,,0.149,,
2021PN880005,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2021-06-24 9:35,WATER,VERTICAL INTEGRATED,4.8,,,,,,5.83,,0.223,,
2021PN880006,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2021-07-20 10:00,WATER,VERTICAL INTEGRATED,1.9,,,,,,2.28,,0.057,,
2021PN880007,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2021-06-24 9:15,WATER,VERTICAL INTEGRATED,2.3,,,,,,5.79,,0.165,,
2021PN880008,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2021-07-20 10:30,WATER,VERTICAL INTEGRATED,2.7,,,,,,2.3,,0.051,,
2021PN880009,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2021-07-20 10:20,WATER,VERTICAL INTEGRATED,2.2,,,,,,2.44,,0.077,,
2021PN880010,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2021-07-19 13:50,WATER,VERTICAL INTEGRATED,3.6,,,,,,2.83,,0.083,,
2021PN880011,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2021-07-19 14:30,WATER,VERTICAL INTEGRATED,1.4,,,,,,2.74,,0.068,,
2021PN880012,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2021-08-10 15:25,WATER,VERTICAL INTEGRATED,2.6,,,,,,1.43,,0.034,,
2021PN880013,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2021-08-10 12:20,WATER,VERTICAL INTEGRATED,2.1,,,,,,1.59,,0.037,,
2021PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2021-08-10 11:50,WATER,VERTICAL INTEGRATED,1.8,,,,,,2.06,,0.045,,
2021PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-08-10 11:15,WATER,VERTICAL INTEGRATED,2.2,,,,,,2.46,,0.08,,
2021PN880016,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2021-08-13 12:20,WATER,VERTICAL INTEGRATED,3.1,,,,,,2.05,,0.049,,
2021PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2021-08-13 12:00,WATER,VERTICAL INTEGRATED,1.1,,,,,,3.15,,0.047,,
2021PN880018,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2021-08-25 14:40,WATER,VERTICAL INTEGRATED,2.9,,,,,,2.01,,0.038,,
2021PN880019,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2021-08-25 12:40,WATER,VERTICAL INTEGRATED,1.8,,,,,,7.57,,0.033,,
2021PN880020,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2021-08-25 12:15,WATER,VERTICAL INTEGRATED,1.8,,,,,,1.7,,0.031,,
2021PN880021,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-08-25 11:50,WATER,VERTICAL INTEGRATED,2.1,,,,,,1.56,,0.05,,
2021PN880022,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2021-08-26 12:30,WATER,VERTICAL INTEGRATED,3.1,,,,,,2.06,,0.043,,
2021PN880023,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2021-08-26 12:00,WATER,VERTICAL INTEGRATED,1,,,,,,1.86,,0.037,,
2021PN880024,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2021-09-07 15:20,WATER,VERTICAL INTEGRATED,3.3,,,,,,4.37,,0.09,,
2021PN880025,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2021-09-08 13:55,WATER,VERTICAL INTEGRATED,3.7,,,,,,5.08,,0.105,,
2021PN880026,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2021-09-08 13:35,WATER,VERTICAL INTEGRATED,1.7,,,,,,4,,0.082,,
2021PN880027,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2021-09-07 12:30,WATER,VERTICAL INTEGRATED,2.2,,,,,,5.27,,0.095,,
2021PN880028,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2021-09-07 12:10,WATER,VERTICAL INTEGRATED,2.2,,,,,,3.6,,0.071,,
2021PN880029,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-09-07 11:25,WATER,TRIPLICATE SAMPLE,2.7,,,,,,2.96,,0.067,,
2021PN880030,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-09-07 11:30,WATER,TRIPLICATE SAMPLE,2.7,,,,,,,,,,
2021PN880031,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-09-07 11:35,WATER,TRIPLICATE SAMPLE,2.7,,,,,,,,,,
2021PN880036,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2021-09-28 15:20,WATER,VERTICAL INTEGRATED,3.1,,,,,,,,,,
2021PN880037,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2021-09-28 15:00,WATER,VERTICAL INTEGRATED,0.9,,,,,,,,,,
2021PN880038,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2021-10-14 15:05,WATER,VERTICAL INTEGRATED,2.7,,,,,,0.94,,0.018,,
2021PN880039,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2021-10-14 12:15,WATER,VERTICAL INTEGRATED,1.5,,,,,,0.96,,0.018,,
2021PN880040,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2021-10-14 12:35,WATER,VERTICAL INTEGRATED,0.9,,,,,,0.81,,0.021,,
2021PN880041,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2021-10-14 11:35,WATER,VERTICAL INTEGRATED,2,,,,,,1,,0.037,,
2021PN880042,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2022-03-10 11:25,WATER,VERTICAL INTEGRATED,2.01,,,,,,0.66,,0.025,,
2021PN880043,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2022-03-10 12:00,WATER,VERTICAL INTEGRATED,1.05,,,,,,0.78,,0.032,,
2021PN880044,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-03-10 12:20,WATER,VERTICAL INTEGRATED,1.52,,,,,,0.75,,0.038,,
2021PN880045,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-03-11 12:05,WATER,VERTICAL INTEGRATED,2.07,,,,,,0.68,,0.028,,
2021PN880046,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-03-11 12:30,WATER,VERTICAL INTEGRATED,1.7,,,,,,0.65,,0.034,,
2021PN880047,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2022-03-10 15:00,WATER,VERTICAL INTEGRATED,4.25,,,,,,0.66,,0.028,,
2022PN880001,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-05-26 13:05,WATER,VERTICAL INTEGRATED,3.6,,,,,,6.96,,0.148,,
2022PN880002,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-05-26 12:45,WATER,VERTICAL INTEGRATED,4,,,,,,6.81,,0.134,,
2022PN880003,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-05-26 12:20,WATER,VERTICAL INTEGRATED,1.9,,,,,,5.63,,0.146,,
2022PN880004,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-05-23 16:00,WATER,VERTICAL INTEGRATED,4.2,,,,,,9.46,,0.161,,
2022PN880005,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-05-23 13:05,WATER,VERTICAL INTEGRATED,2.2,,,,,,9.46,,0.128,,
2022PN880006,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-05-23 13:20,WATER,VERTICAL INTEGRATED,3.2,,,,,,9.68,,0.157,,
2022PN880007,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-05-23 12:00,WATER,TRIPLICATE SAMPLE,3,,,,,,5.73,,0.104,,
2022PN880008,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-05-23 12:05,WATER,TRIPLICATE SAMPLE,3,,,,,,5.88,,0.107,,
2022PN880009,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-05-23 12:10,WATER,TRIPLICATE SAMPLE,3,,,,,,5.91,,0.109,,
2022PN880012,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-06-07 13:45,WATER,VERTICAL INTEGRATED,3.9,,,,,,3.54,,0.119,,
2022PN880013,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-06-07 11:50,WATER,VERTICAL INTEGRATED,2.5,,,,,,3.97,,0.107,,
2022PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-06-07 11:30,WATER,VERTICAL INTEGRATED,2.4,,,,,,4.21,,0.115,,
2022PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-06-07 11:15,WATER,VERTICAL INTEGRATED,2.7,,,,,,3.31,,0.117,,
2022PN880016,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-06-08 12:10,WATER,VERTICAL INTEGRATED,3.1,,,,,,5.33,,0.172,,
2022PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-06-08 11:55,WATER,VERTICAL INTEGRATED,3.3,,,,,,4.05,,0.119,,
2022PN880018,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-06-08 11:40,WATER,VERTICAL INTEGRATED,1.4,,,,,,3.69,,0.115,,
2022PN880019,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-06-21 14:00,WATER,VERTICAL INTEGRATED,3.9,,,,,,11.92,,0.436,,
2022PN880020,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-06-21 11:25,WATER,VERTICAL INTEGRATED,4.1,,,,,,10.49,,0.471,,
2022PN880021,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-06-21 12:05,WATER,VERTICAL INTEGRATED,3.4,,,,,,9.35,,0.395,,
2022PN880022,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-06-21 10:50,WATER,VERTICAL INTEGRATED,3.7,,,,,,6.79,,0.265,,
2022PN880023,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-06-22 12:11,WATER,VERTICAL INTEGRATED,4.4,,,,,,7.85,,0.409,,
2022PN880024,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-06-22 11:45,WATER,VERTICAL INTEGRATED,4.5,,,,,,7.07,,0.333,,
2022PN880025,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-06-22 11:25,WATER,VERTICAL INTEGRATED,2.7,,,,,,7.77,,0.359,,
2022PN880026,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-07-05 13:55,WATER,VERTICAL INTEGRATED,4.2,,,,,,12.14,,0.688,,
2022PN880027,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-07-05 12:20,WATER,VERTICAL INTEGRATED,3.7,,,,,,12.07,,0.821,,
2022PN880028,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-07-05 12:00,WATER,VERTICAL INTEGRATED,4,,,,,,12.3,,0.73,,
2022PN880029,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-07-05 11:35,WATER,VERTICAL INTEGRATED,4.8,,,,,,13.62,,0.537,,
2022PN880030,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-07-06 12:19,WATER,VERTICAL INTEGRATED,4.9,,,,,,13.18,,0.617,,
2022PN880031,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-07-06 11:59,WATER,VERTICAL INTEGRATED,3.3,,,,,,11.91,,0.573,,
2022PN880032,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-06 12:45,WATER,TRIPLICATE SAMPLE,4.7,,,,,,11.29,,0.595,,
2022PN880033,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-06 12:50,WATER,TRIPLICATE SAMPLE,4.7,,,,,,10.55,,0.7,,
2022PN880034,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-06 12:55,WATER,TRIPLICATE SAMPLE,4.7,,,,,,10.46,,0.615,,
2022PN880037,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-07-19 13:25,WATER,VERTICAL INTEGRATED,3.5,,,,,,9.35,,0.157,,
2022PN880038,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-07-19 10:55,WATER,VERTICAL INTEGRATED,2.1,,,,,,12.08,,0.206,,
2022PN880039,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-07-19 11:20,WATER,VERTICAL INTEGRATED,3,,,,,,9.8,,0.208,,
2022PN880040,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-07-19 10:35,WATER,VERTICAL INTEGRATED,3.7,,,,,,6.85,,0.143,,
2022PN880041,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-07-20 11:35,WATER,VERTICAL INTEGRATED,4.1,,,,,,9.38,,0.188,,
2022PN880042,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-07-20 11:20,WATER,VERTICAL INTEGRATED,3.7,,,,,,8.69,,0.156,,
2022PN880043,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-07-20 11:00,WATER,VERTICAL INTEGRATED,1.8,,,,,,7.78,,0.149,,
2022PN880044,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-08-02 16:00,WATER,VERTICAL INTEGRATED,2.9,,,,,,3.14,,0.082,,
2022PN880045,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-08-02 13:55,WATER,VERTICAL INTEGRATED,2.1,,,,,,3.66,,0.089,,
2022PN880046,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-08-02 14:12,WATER,VERTICAL INTEGRATED,2,,,,,,3.17,,0.078,,
2022PN880047,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-08-02 13:30,WATER,VERTICAL INTEGRATED,1.2,,,,,,4,,0.091,,
2022PN880048,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-08-03 13:15,WATER,VERTICAL INTEGRATED,3.5,,,,,,3.82,,0.108,,
2022PN880049,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-08-03 12:53,WATER,VERTICAL INTEGRATED,3,,,,,,3.3,,0.074,,
2022PN880050,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-08-03 12:35,WATER,VERTICAL INTEGRATED,1.2,,,,,,3.33,,0.08,,
2022PN880051,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-08-16 13:45,WATER,VERTICAL INTEGRATED,2.7,,,,,,3.38,,0.114,,
2022PN880052,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-08-16 11:35,WATER,VERTICAL INTEGRATED,2.6,,,,,,3.8,,0.098,,
2022PN880053,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-08-16 11:50,WATER,VERTICAL INTEGRATED,1.3,,,,,,3.34,,0.094,,
2022PN880054,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-08-16 11:15,WATER,VERTICAL INTEGRATED,2.9,,,,,,3.42,,0.135,,
2022PN880055,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-08-17 13:10,WATER,VERTICAL INTEGRATED,2.9,,,,,,3.65,,0.124,,
2022PN880056,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-08-17 12:55,WATER,VERTICAL INTEGRATED,3.4,,,,,,2.99,,0.104,,
2022PN880057,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-08-17 12:40,WATER,VERTICAL INTEGRATED,1.1,,,,,,3.14,,0.103,,
2022PN880058,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-09-16 11:15,WATER,VERTICAL INTEGRATED,1,,,,,,1.05,,0.033,,
2022PN880059,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-09-14 12:10,WATER,VERTICAL INTEGRATED,2.5,,,,,,1.13,,0.035,,
2022PN880060,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-09-14 12:30,WATER,VERTICAL INTEGRATED,1,,,,,,1.3,,0.046,,
2022PN880061,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-09-14 11:50,WATER,VERTICAL INTEGRATED,2,,,,,,1.29,,0.05,,
2022PN880062,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-09-15 12:23,WATER,VERTICAL INTEGRATED,2.8,,,,,,1.8,,0.064,,
2022PN880063,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-09-15 12:08,WATER,VERTICAL INTEGRATED,2.7,,,,,,1.31,,0.04,,
2022PN880064,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2022-09-15 11:50,WATER,VERTICAL INTEGRATED,0.6,,,,,,1.26,,0.04,,
2022PN880065,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2022-10-12 15:20,WATER,VERTICAL INTEGRATED,1.6,,,,,,0.53,,0.026,,
2022PN880066,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2022-10-12 11:25,WATER,VERTICAL INTEGRATED,1.8,,,,,,0.68,,0.026,,
2022PN880067,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2022-10-12 11:50,WATER,VERTICAL INTEGRATED,0.8,,,,,,0.64,,0.029,,
2022PN880068,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2022-10-12 12:35,WATER,VERTICAL INTEGRATED,1.6,,,,,,0.77,,0.048,,
