2019PN880009,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-06-04 11:20,WATER,VERTICAL INTEGRATED,2.1,,0,,13.12,,0.666,,0.187,,,,,,,,0.007,,6.97,,6.15,L,0.01,,0.472,,,,0.194,,0.194,,0.0075,,193,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880010,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-06-04 11:00,WATER,VERTICAL INTEGRATED,1.9,,0,,9.8,,0.463,,0.122,,,,,,,,0.006,,6.68,,3.12,L,0.01,,0.272,,,,0.191,,0.129,,0.0074,,118,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880011,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-06-04 10:40,WATER,VERTICAL INTEGRATED,3.3,,0,,10.4,,0.49,,0.097,,,,,,,,0.005,,7.77,,2.63,L,0.01,,0.249,,,,0.241,,0.105,,0.0081,,82,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880012,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-06-04 10:25,WATER,VERTICAL INTEGRATED,3,,0,,10.23,,0.484,,0.086,,,,,,,,0.008,,7.91,,2.32,L,0.01,,0.233,,,,0.251,,0.0939,,0.0077,,74,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880013,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-06-05 11:35,WATER,VERTICAL INTEGRATED,4,,0,,10.65,,0.524,,0.132,,,,,,,,0.006,,6.98,,3.67,L,0.01,,0.312,,,,0.212,,0.139,,0.0071,,146,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880014,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-06-05 11:00,WATER,VERTICAL INTEGRATED,5.2,,0,,10.06,,0.473,,0.101,,,,,,,,0.007,,7.32,,2.74,L,0.01,,0.258,,,,0.215,,0.108,,0.0072,,94,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880015,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-06-18 16:40,WATER,VERTICAL INTEGRATED,3.9,,0.001,,8.13,,0.373,,0.065,,,,,,,,0.007,,6.01,,2.12,L,0.01,,0.188,,,,0.185,,0.0699,,0.005,,52,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880016,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-06-18 14:30,WATER,VERTICAL INTEGRATED,1.5,,0.001,,7.72,,0.411,,0.063,,,,,,,,0.008,,5.96,,1.76,,0.045,,0.179,,,,0.232,,0.0697,,0.0066,,46,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880017,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-06-18 14:05,WATER,VERTICAL INTEGRATED,1.6,,0.001,,7.75,,0.369,,0.071,,,,,,,,0.008,,5.86,,1.89,L,0.01,,0.188,,,,0.181,,0.0802,,0.009,,54,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880018,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-06-18 11:30,WATER,VERTICAL INTEGRATED,2.2,,0,,9.09,,0.394,,0.061,,,,,,,,0.005,,7.33,,1.76,L,0.01,,0.162,,,,0.232,,0.0697,,0.0092,,38,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880019,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-06-18 11:10,WATER,VERTICAL INTEGRATED,2.3,,0.001,,9.49,,0.398,,0.056,,,,,,,,0.012,,7.81,,1.68,L,0.01,,0.152,,,,0.246,,0.065,,0.0086,,33,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880020,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-06-19 11:05,WATER,VERTICAL INTEGRATED,3.6,,0,,8.35,,0.357,,0.069,,,,,,,,0.006,,6.43,,1.92,L,0.01,,0.157,,,,0.2,,0.0746,,0.0059,,47,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880021,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-06-19 10:35,WATER,VERTICAL INTEGRATED,4.5,,0,,8.65,,0.365,,0.069,,,,,,,,0.005,,6.69,,1.96,L,0.01,,0.157,,,,0.208,,0.0752,,0.0063,,44,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880022,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-04 15:45,WATER,VERTICAL INTEGRATED,5.3,,0.001,,35.1,,1.972,,0.768,,,,,,,,0.035,,12.5,,22.6,,0.088,,1.49,,,,0.482,,0.786,,0.0177,,1080,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880023,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-07-04 11:00,WATER,VERTICAL INTEGRATED,3,,0.001,,24,,1.349,,0.898,,,,,,,,0.035,,12.1,,11.9,,0.094,,0.914,,,,0.435,,0.916,,0.0182,,1230,,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880024,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-07-04 11:25,WATER,VERTICAL INTEGRATED,5.1,,0.001,,37.6,,2.139,,0.902,,,,,,,,0.037,,12.2,,25.4,,0.094,,1.7,,,,0.439,,0.923,,0.0212,,1210,,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880025,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-07-04 11:45,WATER,VERTICAL INTEGRATED,7.8,,0.001,,36.5,,2.2,,0.768,,,,,,,,0.033,,12.5,,24,,0.08,,1.75,,,,0.45,,0.789,,0.0207,,945,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880026,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-04 12:20,WATER,VERTICAL INTEGRATED,7.1,,0.001,,28.4,,1.639,,0.617,,,,,,,,0.03,,12.6,,15.8,,0.058,,1.2,,,,0.439,,0.633,,0.0163,,746,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880027,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-07-05 11:50,WATER,VERTICAL INTEGRATED,6.5,,0.001,,31.5,,1.828,,0.678,,,,,,,,0.032,,12.7,,18.8,,0.094,,1.36,,,,0.468,,0.691,,0.0131,,844,,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880028,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-07-05 11:15,WATER,VERTICAL INTEGRATED,7.5,,0.001,,29.9,,1.69,,0.64,,,,,,,,0.03,,12.5,,17.4,,0.084,,1.23,,,,0.46,,0.653,,0.013,,769,,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880029,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-07-16 12:50,WATER,VERTICAL INTEGRATED,2.1,,0.001,,21.67,,0.987,,0.378,,,,,,,,0.014,,12.9,,8.77,,0.074,,0.537,,,,0.45,,0.394,,0.0158,,368,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880030,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-07-16 12:18,WATER,VERTICAL INTEGRATED,4.1,,0.001,,21.06,,0.942,,0.324,,,,,,,,0.015,,12.8,,8.26,,0.046,,0.512,,,,0.43,,0.34,,0.0158,,399,,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880031,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-07-16 11:55,WATER,VERTICAL INTEGRATED,4.7,,0,,19.82,,0.86,,0.277,,,,,,,,0.012,,12.9,,6.92,,0.038,,0.435,,,,0.425,,0.291,,0.0142,,309,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880032,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-16 11:32,WATER,VERTICAL INTEGRATED,4.1,,0,,18.4,,0.746,,0.237,,,,,,,,0.01,,12.6,,5.8,,0.026,,0.333,,,,0.413,,0.253,,0.0159,,226,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880033,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-07-17 12:35,WATER,VERTICAL INTEGRATED,5.2,,0.001,,19.98,,1.152,,0.298,,,,,,,,0.017,,12.6,,7.38,,0.051,,0.717,,,,0.435,,0.313,,0.0152,,320,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880034,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-07-17 12:00,WATER,VERTICAL INTEGRATED,6.3,,0.001,,19.34,,0.997,,0.26,,,,,,,,0.016,,12.5,,6.84,,0.041,,0.576,,,,0.421,,0.28,,0.0196,,321,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880035,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-16 15:25,WATER,TRIPLICATE SAMPLE,3.6,,0.001,,20.73,,0.905,,0.312,,,,,,,,0.013,,12.6,,8.13,,0.046,,0.473,,,,0.432,,0.327,,0.0149,,365,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880036,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-16 15:30,WATER,TRIPLICATE SAMPLE,3.6,,PM,,20.87,,0.939,,0.303,,,,,,,,0.014,,12.7,,8.17,,0.044,,0.512,,,,0.427,,0.317,,0.0142,,378,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880037,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-16 15:35,WATER,TRIPLICATE SAMPLE,3.6,,PM,,21.58,,0.944,,0.344,,,,,,,,0.014,,12.8,,8.78,,0.044,,0.525,,,,0.419,,0.358,,0.0137,,379,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880042,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-30 12:40,WATER,VERTICAL INTEGRATED,4.1,,0.001,,26,,1.237,,0.383,,,,,,,,0.024,,16,,10,,0.035,,0.752,,,,0.485,,0.402,,0.0195,,462,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880043,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-07-30 11:15,WATER,VERTICAL INTEGRATED,2,,0.001,,26.7,,1.537,,0.392,,,,,,,,0.023,,15.5,,11.2,,0.068,,1.05,,,,0.487,,0.41,,0.0184,,507,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880044,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-07-30 11:00,WATER,VERTICAL INTEGRATED,4.5,,0.001,,25.8,,1.492,,0.4,,,,,,,,0.021,,15.6,,10.2,,0.035,,0.99,,,,0.502,,0.419,,0.019,,486,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880045,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-07-30 10:50,WATER,VERTICAL INTEGRATED,4.9,,0.001,,24.45,,1.123,,0.322,,,,,,,,0.019,,15.2,,9.25,,0.027,,0.663,,,,0.46,,0.346,,0.024,,370,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880046,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-30 10:20,WATER,VERTICAL INTEGRATED,4.3,,0.002,,23.33,,0.979,,0.258,,,,,,,,0.022,,15,,8.33,,0.019,,0.536,,,,0.443,,0.282,,0.0237,,272,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880047,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-07-31 11:40,WATER,VERTICAL INTEGRATED,5.3,,0.001,,25.33,,1.149,,0.322,,,,,,,,0.018,,16.2,,9.13,,0.045,,0.653,,,,0.496,,0.346,,0.0235,,411,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880048,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-31 11:00,WATER,VERTICAL INTEGRATED,6.2,,0.001,,24.46,,1.319,,0.338,,,,,,,,0.017,,15.8,,8.66,,0.032,,0.803,,,,0.516,,0.361,,0.0229,,391,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880049,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-08-13 13:45,WATER,VERTICAL INTEGRATED,3.4,,0.001,,15.04,,0.741,,0.101,,,,,,,,0.013,,12.5,,2.54,,0.026,,0.266,,,,0.475,,0.128,,0.0269,,103,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880050,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-08-13 11:55,WATER,VERTICAL INTEGRATED,1.1,,0.001,,17.31,,0.725,,0.122,,,,,,,,0.012,,14.3,,3.01,,0.068,,0.191,,,,0.534,,0.146,,0.0238,,130,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880051,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-08-13 11:25,WATER,VERTICAL INTEGRATED,3.5,,0.001,,16.85,,0.64,,0.113,,,,,,,,0.013,,14,,2.85,,0.026,,0.181,,,,0.459,,0.137,,0.0237,,124,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880052,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-08-13 11:05,WATER,VERTICAL INTEGRATED,4.3,,0.001,,16.64,,0.729,,0.104,,,,,,,,0.013,,13.8,,2.84,,0.022,,0.246,,,,0.483,,0.128,,0.024,,98,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
